,feature,poids
8,EXT_SOURCE_3,0.16307081771677906
7,EXT_SOURCE_2,0.15929185864496473
6,EXT_SOURCE_1,0.06746599193144365
2,DAYS_EMPLOYED,0.04212964996145526
15,BURO_DAYS_CREDIT_MEAN,0.039816032087441576
10,CREDIT_TO_GOODS_RATIO,0.03195388267800404
12,INCOME_TO_EMPLOYED_RATIO,0.02796358800268834
9,CREDIT_TO_ANNUITY_RATIO,0.025812960641734096
1,DAYS_BIRTH,0.025567889059635505
14,NAME_EDUCATION_TYPE_CATed,0.02349612148231177
38,INSTAL_DPD_MEAN,0.023214295337978107
29,PREV_HAD_LATE_PAYMENTS_MEAN,0.017934839638615554
33,APPROVED_AMT_DOWN_PAYMENT_SUM,0.017911003429486736
43,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,0.015995560981131227
16,BURO_CREDIT_ENDDATE_MAX,0.015412116557932195
20,BURO_HAS_CREDIT_SUM,0.015008201561623549
37,POS_COUNT,0.014893674305700964
41,INSTAL_PAYMENT_DIFF_MEAN,0.013974697987488979
24,PREV_SIMPLE_INTERESTS_MEAN,0.013809102285425773
0,AMT_ANNUITY,0.013195460277711436
17,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.013189061318591492
40,INSTAL_PAYMENT_PERC_MEAN,0.013166731353813268
11,ANNUITY_TO_INCOME_RATIO,0.01300648639773464
3,DAYS_ID_PUBLISH,0.011903952245067883
4,REGION_RATING_CLIENT_W_CITY,0.011692237966510859
47,CC_CNT_DRAWINGS_CURRENT_MEAN,0.0112521524842138
13,INCOME_TO_BIRTH_RATIO,0.010841032411862994
44,INSTAL_COUNT,0.01011029616702312
48,CC_LIMIT_USE_MEAN,0.01008216715249781
23,PREV_CREDIT_TO_ANNUITY_RATIO_MEAN,0.009387021539785073
42,INSTAL_AMT_PAYMENT_MEAN,0.009120180735901599
21,BURO_HAS_CLOSED_SUM,0.009022224120027974
26,PREV_DAYS_LAST_DUE_DIFF_MEAN,0.008928797636650177
39,INSTAL_DBD_MEAN,0.008462341586895942
50,CC_DRAWING_LIMIT_RATIO_MEAN,0.008249767936427602
25,PREV_DOWN_PAYMENT_TO_CREDIT_MEAN,0.007737147308822428
46,CC_AMT_BALANCE_MEAN,0.0076116501453581615
36,POS_SK_DPD_DEF_MEAN,0.006980176230903366
19,BURO_DEBT_PERCENTAGE_MEAN,0.006364841141375406
18,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.006192448671346304
30,ACTIVE_REMAINING_DEBT_SUM,0.005598365143609753
5,HOUR_APPR_PROCESS_START,0.005211636082431204
27,PREV_YIELD_GROUP_HIGH_SUM,0.004631533916235703
32,REFUSED_APP_CREDIT_PERC_MEAN,0.004631406152990985
35,POS_SK_DPD_MEAN,0.004612480068688157
45,CC_MONTHS_BALANCE_MEAN,0.004511596501640765
28,PREV_HAS_REFUSED_SUM,0.003852743157063966
31,ACTIVE_AMT_INSTALMENT_SUM,0.003695009442577036
49,CC_LATE_PAYMENT_MEAN,0.0014037049862289704
22,BURO_HAS_DELAYED_BADDEBT_MEAN,0.000633065428170955
34,REFUSED_DAYS_DECISION_MEAN,0.0
