,feature,poids
19,EXT_SOURCE_3,0.1436163704625774
18,EXT_SOURCE_2,0.14198542506708176
17,EXT_SOURCE_1,0.058054385272257966
3,DAYS_EMPLOYED,0.03356654009755239
35,NAME_EDUCATION_TYPE_CATed,0.032025879186537994
59,BURO_DAYS_CREDIT_MEAN,0.0314675434909116
86,INSTAL_DPD_MEAN,0.030175626584661115
31,CREDIT_TO_GOODS_RATIO,0.028855751235771863
33,INCOME_TO_EMPLOYED_RATIO,0.02496852349833543
2,DAYS_BIRTH,0.024294020362157602
64,BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.024144061590400244
30,CREDIT_TO_ANNUITY_RATIO,0.024082680003453476
60,BURO_DAYS_CREDIT_ENDDATE_MEAN,0.019978488159595725
89,INSTAL_PAYMENT_DIFF_MEAN,0.0173840099189944
88,INSTAL_PAYMENT_PERC_MEAN,0.015696826486665674
1,AMT_CREDIT,0.014478489391166112
69,BURO_HAS_CREDIT_SUM,0.013887857778340264
91,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,0.01383683934880356
11,REGION_RATING_CLIENT_W_CITY,0.01382390008683411
62,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.013335886250758771
85,POS_COUNT,0.013230956062493153
5,DAYS_ID_PUBLISH,0.012239670494411872
98,CC_CNT_DRAWINGS_CURRENT_MEAN,0.012082792636926108
32,ANNUITY_TO_INCOME_RATIO,0.01129792910508072
97,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,0.010422001750972989
92,INSTAL_COUNT,0.010281853965009297
34,INCOME_TO_BIRTH_RATIO,0.009222061256482658
63,BURO_AMT_CREDIT_SUM_MEAN,0.009072706665673625
4,DAYS_REGISTRATION,0.008852709307096347
40,NAME_INCOME_TYPE_Working,0.008638292001245662
77,PREV_NAME_YIELD_GROUP_high_MEAN,0.008520251537384923
72,PREV_AMT_ANNUITY_MEAN,0.008305927167394353
84,POS_SK_DPD_DEF_MEAN,0.00814617295793266
96,CC_AMT_DRAWINGS_CURRENT_MEAN,0.008043315180312127
87,INSTAL_DBD_MEAN,0.007920700458467387
74,PREV_CNT_PAYMENT_MEAN,0.007904631794907342
94,CC_AMT_BALANCE_MEAN,0.0076719629558011085
