,feature,poids
58,NAME_EDUCATION_TYPE_3,0.03607648094572218
94,BURO_DAYS_CREDIT_MEAN,0.03381643636627047
270,INSTAL_DPD_MEAN,0.03235717567468266
39,CREDIT_TO_GOODS_RATIO,0.030259796859786744
37,AGE_RANGE,0.03023165128778877
7,DAYS_EMPLOYED,0.02803334337737056
56,NAME_EDUCATION_TYPE_1,0.024274953803234616
100,BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.02232025384606527
6,DAYS_BIRTH,0.022196203605047128
42,INCOME_TO_EMPLOYED_RATIO,0.021905963525798225
110,BURO_CREDIT_ACTIVE_Closed_MEAN,0.019577849973236257
55,NAME_INCOME_TYPE_Working,0.01841028554453833
272,INSTAL_PAYMENT_PERC_MEAN,0.017859237118205674
44,EMPLOYED_TO_BIRTH_RATIO,0.017816681543607944
273,INSTAL_PAYMENT_DIFF_MEAN,0.0171009037394254
108,BURO_CREDIT_ACTIVE_Active_MEAN,0.01694200331052744
38,CREDIT_TO_ANNUITY_RATIO,0.01510671412452242
124,ACTIVE_DAYS_CREDIT_MEAN,0.015056591658771571
128,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.014169468746683928
96,BURO_DAYS_CREDIT_UPDATE_MEAN,0.014134681691076578
95,BURO_DAYS_CREDIT_ENDDATE_MEAN,0.013144624727515474
16,REGION_RATING_CLIENT,0.012992682441483681
17,REGION_RATING_CLIENT_W_CITY,0.012534977209959622
98,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.01177585871103178
260,REFUSED_DAYS_DECISION_MEAN,0.009798231619433447
4,AMT_GOODS_PRICE,0.009501992025129991
211,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,0.009117265241883006
181,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,0.008596051556150326
9,DAYS_ID_PUBLISH,0.008213790483175804
178,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.00818652313831357
188,PREV_CODE_REJECT_REASON_XAP_MEAN,0.00811904380134133
292,CC_CNT_DRAWINGS_CURRENT_MEAN,0.008052435972902821
255,REFUSED_APP_CREDIT_PERC_MEAN,0.007907693939443476
74,OCCUPATION_TYPE_Laborers,0.007237471421397912
264,POS_SK_DPD_DEF_MEAN,0.007085501755836326
195,PREV_NAME_CLIENT_TYPE_New_MEAN,0.006950392615332947
138,CLOSED_DAYS_CREDIT_MEAN,0.00669466365455801
2,AMT_CREDIT,0.0065552409035201245
5,REGION_POPULATION_RELATIVE,0.006441660728851542
160,PREV_DAYS_DECISION_MEAN,0.006428647844757662
276,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,0.00642598049168534
268,POS_COUNT,0.005851849070256774
291,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,0.005750960880872761
186,PREV_CODE_REJECT_REASON_HC_MEAN,0.005728950783187436
132,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,0.005620267781422057
155,PREV_APP_CREDIT_PERC_MEAN,0.005610441165910736
156,PREV_AMT_DOWN_PAYMENT_MEAN,0.00559213872729088
125,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.0055640996570733795
226,PREV_NAME_YIELD_GROUP_high_MEAN,0.005166812731387947
130,ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.005094217068139888
263,POS_SK_DPD_MEAN,0.004991950128428162
242,APPROVED_AMT_ANNUITY_MEAN,0.004706944963647378
99,BURO_AMT_CREDIT_SUM_MEAN,0.004577837182628909
277,INSTAL_COUNT,0.004566477449124723
36,NEW_DOC_KURT,0.004538548544307108
3,AMT_ANNUITY,0.004471122107434908
282,CC_AMT_DRAWINGS_CURRENT_MEAN,0.004418073947381534
246,APPROVED_AMT_DOWN_PAYMENT_MEAN,0.004299233185259435
290,CC_AMT_TOTAL_RECEIVABLE_MEAN,0.004169608850548538
51,NAME_INCOME_TYPE_Commercial associate,0.0038716984811615223
279,CC_AMT_BALANCE_MEAN,0.0038656087764655034
143,CLOSED_AMT_CREDIT_SUM_MEAN,0.0038634384785479715
245,APPROVED_APP_CREDIT_PERC_MEAN,0.0038458413286713315
175,PREV_NAME_CASH_LOAN_PURPOSE_NAME_CASH_LOAN_PURPOSE_divers_MEAN,0.0038098914423344665
10,OWN_CAR_AGE,0.003794901614302241
289,CC_AMT_RECIVABLE_MEAN,0.0037896551663594816
262,POS_MONTHS_BALANCE_MEAN,0.0037374198657890473
102,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.0036562588900076257
250,APPROVED_DAYS_DECISION_MEAN,0.0036329759362648453
288,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,0.0036285211407264613
41,CREDIT_TO_INCOME_RATIO,0.0035150898283576354
139,CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0.0034665902295961054
