,AMT_ANNUITY,DAYS_EMPLOYED,DAYS_ID_PUBLISH,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,AGE_RANGE,CREDIT_TO_ANNUITY_RATIO,CREDIT_TO_GOODS_RATIO,ANNUITY_TO_INCOME_RATIO,INCOME_TO_EMPLOYED_RATIO,INCOME_TO_BIRTH_RATIO,NAME_EDUCATION_TYPE_CATed,BURO_DAYS_CREDIT_MEAN,BURO_CREDIT_ENDDATE_MAX,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,BURO_DEBT_PERCENTAGE_MEAN,BURO_HAS_CREDIT_SUM,BURO_HAS_CLOSED_SUM,BURO_HAS_DELAYED_BADDEBT_MEAN,PREV_CREDIT_TO_ANNUITY_RATIO_MEAN,PREV_SIMPLE_INTERESTS_MEAN,PREV_DOWN_PAYMENT_TO_CREDIT_MEAN,PREV_DAYS_LAST_DUE_DIFF_MEAN,PREV_YIELD_GROUP_HIGH_SUM,PREV_HAS_REFUSED_SUM,PREV_HAD_LATE_PAYMENTS_MEAN,ACTIVE_REMAINING_DEBT_SUM,ACTIVE_AMT_INSTALMENT_SUM,REFUSED_APP_CREDIT_PERC_MEAN,APPROVED_AMT_DOWN_PAYMENT_SUM,REFUSED_DAYS_DECISION_MEAN,POS_SK_DPD_MEAN,POS_SK_DPD_DEF_MEAN,POS_COUNT,INSTAL_DPD_MEAN,INSTAL_DBD_MEAN,INSTAL_PAYMENT_PERC_MEAN,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_AMT_PAYMENT_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,INSTAL_COUNT,CC_MONTHS_BALANCE_MEAN,CC_AMT_BALANCE_MEAN,CC_CNT_DRAWINGS_CURRENT_MEAN,CC_LIMIT_USE_MEAN,CC_LATE_PAYMENT_MEAN,CC_DRAWING_LIMIT_RATIO_MEAN,SK_ID_CURR
179769,1.2644545,0.7371759,-0.85431075,0.010983365,1.4486628,-0.8165173,0.2333879,0.3707459,0.6046319,-0.13586538,-0.21369036,0.45554653,-0.46712154,-0.3819932,-0.023265531,-0.19129905,-0.00864922,-0.060459033,1.0475022,-0.09797766,-0.6285112,1.5847543,0.090806164,0.6807693,0.75031245,-0.4042992,-0.7950211,0.00044121267,-0.39838994,-0.5716842,0.18617141,0.0,-0.07020805,-0.016123267,-0.38859022,-0.121133745,1.1037787,-0.011278516,0.07457858,0.21528079,-0.4611596,-0.58449185,0.22569051,-0.21200258,-0.18560553,-0.12631826,-0.14008689,-0.11995531,391488.0
203061,1.9823432,0.93105006,1.6464964,0.010983365,2.0558696,-0.8165173,-0.76622134,-0.97107714,1.4057003,-0.7883132,-0.078519605,-0.64795846,-0.5560542,-0.44478196,-0.023265531,-0.19129905,-0.00864922,-1.2267894,-0.7772169,-0.09797766,-0.7561049,2.1043746,-0.6906604,0.97480446,-0.015283692,-0.4042992,-0.7950211,0.00044121267,-0.39838994,-0.5716842,-0.4150839,0.0,-0.07020805,-0.016123267,-1.0689752,-0.121133745,1.370733,-0.011278516,0.07457858,0.105693124,0.9197778,-0.90690535,0.22569051,-0.21200258,-0.18560553,-0.12631826,-0.14008689,-0.11995531,429292.0
188552,-0.41001502,0.95887667,-0.29343152,0.010983365,0.5378524,-0.8165173,2.0285237,0.6312174,-0.8599882,-1.3950908,-0.3538428,-0.64795846,0.3871994,0.7365062,-0.023265531,0.29075637,-0.00864922,0.52270615,-1.0813367,-0.09797766,-1.2075281,1.8601087,1.8824315,-0.4365642,0.75031245,-0.4042992,-0.7950211,0.00044121267,-0.39838994,-0.5716842,0.19020896,0.0,-0.07020805,-0.016123267,-0.60121053,-0.121133745,-0.37319392,-0.011278516,0.07457858,-0.5635098,-2.3144662,-0.63409394,0.22569051,-0.21200258,-0.18560553,-0.12631826,-0.14008689,-0.11995531,405881.0
168320,1.431841,0.9438229,1.000956,0.010983365,-0.67656136,0.19870007,0.57022357,-0.2685933,1.5018286,-0.7132729,0.14997542,-0.64795846,0.8536227,-0.2547445,-0.023265531,-0.19129905,-0.00864922,-0.6436242,-0.47309706,-0.09797766,1.7473156,-0.56478655,-0.17987397,2.327366,-0.78087986,-0.4042992,-0.7950211,-1.5574361,2.368989,-0.5716842,-0.4150839,0.0,-0.07020805,-0.016123267,-0.09092179,-0.1088198,-0.9142998,-0.0075592063,-0.94307107,0.054534677,-0.99510485,3.0860615,-3.4861314,-0.4312039,-0.26115856,-0.5062754,0.84436136,-0.5366324,373268.0
7,0.06525391,-0.32981643,-1.2776159,0.010983365,0.23424895,-0.8165173,1.2696528,1.5862796,-0.51552874,0.20364739,-0.15557025,-0.64795846,-1.6232458,-0.44478196,-0.023265531,-0.19129905,-0.00864922,-1.2267894,0.74338233,-0.09797766,0.17419851,-0.9500606,0.033735048,-0.6129853,-0.78087986,-0.4042992,-0.7950211,-0.14682382,0.22859882,-0.5716842,0.73241115,0.0,-0.07020805,-0.016123267,0.07917446,-0.121133745,-0.13241161,-0.011278516,0.07457858,-0.21212341,-0.04864381,-0.23727736,0.22569051,-0.21200258,-0.18560553,-0.12631826,-0.14008689,-0.11995531,100017.0
125173,-0.8586955,-0.9100705,-1.9654866,1.9546295,0.23424895,-0.8165173,-0.49972495,-0.97107714,-0.6924314,0.27000216,0.10812895,-1.7514634,-0.58254474,2.828828,-0.014905549,-0.19129905,-0.00864922,1.6890365,0.74338233,-0.09797766,0.7201057,0.15246725,-0.6906604,-0.4365642,-0.78087986,-0.4042992,0.80950457,0.00044121267,-0.39838994,-0.5716842,-0.4150839,0.0,-0.07020805,-0.016123267,1.3123722,-0.12037761,-0.7374208,-0.011278516,0.07457858,-0.5909169,-1.0984491,3.1604645,-3.4861314,-0.43587884,-0.23204936,1.7206764,-0.14008689,1.5366575,303215.0
136853,-0.11270757,0.10628644,-1.0104045,0.010983365,0.23424895,0.19870007,1.5846932,-0.97107714,-1.1243408,0.049908504,-0.5079441,1.5590515,0.6029084,-0.44478196,-0.023265531,-0.19129905,-0.00864922,-1.2267894,-0.47309706,-0.09797766,-0.47669086,-0.27610856,-0.31969818,0.6219623,-0.78087986,-0.4042992,-0.7950211,0.00044121267,-0.39838994,-0.5716842,-0.08048771,0.0,-0.07020805,-0.016123267,-0.7287827,-0.121133745,1.26779,-0.011278516,0.07457858,-0.0071587334,1.0963242,-0.73329806,0.22569051,-0.21200258,-0.18560553,-0.12631826,-0.14008689,-0.11995531,322321.0
34676,-0.776513,-0.29514715,-1.1109395,0.010983365,-0.0693545,-0.8165173,1.640172,1.1600535,-0.59296536,0.24780194,0.075249575,-0.64795846,0.9340405,-0.34379473,-0.014943191,1.8986487,-0.00864922,-0.060459033,0.4392625,-0.09797766,-0.52514416,-0.06515154,-0.24061394,-0.119006254,1.5159086,-0.4042992,-0.7950211,0.00044121267,-0.39838994,-0.5716842,-0.044358876,0.0,-0.07020805,-0.016123267,0.3768429,-0.121133745,-0.1699248,-0.011278516,0.07457858,-0.2563426,-0.3474809,-0.18767528,0.99898684,-0.61860037,-0.2854328,-1.505139,-0.14008689,-0.11995531,156216.0
47280,-0.7662401,0.17562498,1.7503384,0.010983365,-0.67656136,0.19870007,-0.802877,0.09448819,-0.5802818,0.20982234,0.18285479,-0.64795846,1.5201443,-0.39154282,-0.023265531,-0.15276453,-0.00864922,-0.060459033,-0.47309706,-0.09797766,-0.056762226,-0.50483036,-0.6906604,-0.3777572,-0.78087986,0.35904357,-0.7950211,0.22458246,-0.10892676,1.51823,-0.4150839,0.0,-0.07020805,-0.016123267,-0.8563549,-0.121133745,-0.25367516,-0.011278516,0.07457858,-0.26660043,1.3495176,-0.7580991,0.22569051,-0.21200258,-0.18560553,-0.12631826,-0.14008689,-0.11995531,176837.0
42920,0.6583581,-1.7348341,-0.9019326,1.9546295,-1.5873717,1.2139175,1.5728049,0.20499127,-0.12300525,0.26042926,0.10779683,-0.64795846,-0.41981694,-0.34033298,-0.023265531,0.49379793,-0.00864922,0.52270615,1.6557419,-0.09797766,0.37447217,-1.2265253,-0.31949437,-0.024915006,-0.78087986,-0.4042992,-0.7950211,-0.032402012,-0.095093094,-0.5716842,-0.16353013,0.0,-0.07020805,-0.016123267,0.7595594,-0.09228303,-0.5476739,-0.010090837,-0.07123796,-0.30166677,-0.740189,3.358873,-3.4861314,-0.118301466,-0.251446,0.036917437,0.35213724,-0.6192336,169763.0
